# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
100,0.07,0.0,0.0,1.0,1.0,0.0,0,0.0,0.3800041800459805,0.9306354323022553,0.0
100,669.13,647.5,779.7,814.1499999999996,1014.2200000000001,647.5,1036,0.0,0.3945006607886068,0.7479139236542596,0.2207508580389372
100,132.19,68.0,223.2000000000002,527.1999999999999,1048.1700000000005,68.0,1163,0.0,0.39059753611074227,0.3501645880367787,0.6377725394308214
100,132.19,68.0,223.2000000000002,527.1999999999999,1048.1700000000005,68.0,1163,0.0,0.3842252482095103,0.3444519315003227,0.627367788092091
100,264.88,147.0,650.2000000000004,901.6499999999996,1781.0900000000001,147.0,1790,0.0,0.4079517964157355,0.600816585637241,0.6657104021588809
100,264.88,147.0,650.2000000000004,901.6499999999996,1781.0900000000001,147.0,1790,0.0,0.4019276449853498,0.5919444342566951,0.6558799753618354
100,70.1,58.0,109.10000000000001,124.34999999999998,191.46000000000024,58.0,237,0.0,0.39743890370452806,0.47195869814912705,0.6497194578138477
100,70.1,58.0,109.10000000000001,124.34999999999998,191.46000000000024,58.0,237,0.0,0.3874662420036655,0.46011616237935277,0.6334164932755234
100,142.05,74.0,272.50000000000045,630.4,902.2100000000006,74.0,1022,0.0,0.40302104575900954,0.4800397844744203,0.6553027745983896
100,142.05,74.0,272.50000000000045,630.4,902.2100000000006,74.0,1022,0.0,0.3973252067084388,0.4732554505568513,0.6460414737983893
100,174.6,78.5,418.90000000000026,674.3499999999995,1269.9300000000014,78.5,1560,0.0,0.3867379811503908,0.4052439978265326,0.6265608503207992
100,110.63,62.0,152.30000000000018,428.0499999999998,589.1800000000042,62.0,1399,0.0,0.3856774810632357,1.4783236299289584,0.6240894395720523
100,122.04,74.5,205.00000000000017,298.19999999999953,753.900000000001,74.5,942,0.0,0.3842798787212703,0.4345665034758115,0.621827889688618
100,143.26,83.0,223.70000000000016,528.3999999999999,1016.7500000000003,83.0,1091,0.0,0.3961227505179305,0.40850158647161583,0.6413784378503211
100,137.62,72.5,218.70000000000016,593.2499999999998,935.6200000000014,72.5,1195,0.0,0.38970553849511314,0.41368156283612106,0.630988069164939
100,110.15,58.0,138.70000000000005,508.34999999999997,919.2400000000016,58.0,1240,0.0,0.4070998208760788,0.6794273377707214,0.6782346625142485
100,914.29,907.5,1281.9000000000008,1560.6499999999999,1754.1400000000017,907.5,2037,0.0,0.39542415171633855,43.06554782432689,0.6564658768728276
100,111.34,62.5,169.60000000000005,453.6499999999999,893.5600000000009,62.5,1048,0.0,0.3894854507709864,0.6131543173001647,0.6291102886476675
100,91.02,60.5,113.10000000000001,284.2999999999997,572.970000000001,60.5,768,0.0,0.39460496097356934,0.38342962516474755,0.6377648539172435
100,174.6,78.5,418.90000000000026,674.3499999999995,1269.9300000000014,78.5,1560,0.0,0.38974199080208904,0.40839175403382966,0.6314276979889314
100,110.63,62.0,152.30000000000018,428.0499999999998,589.1800000000042,62.0,1399,0.0,0.38942326414580003,1.4926814286479224,0.6301507311421783
100,122.04,74.5,205.00000000000017,298.19999999999953,753.900000000001,74.5,942,0.0,0.3866916211659526,0.43729384502946594,0.6257304846406089
100,143.26,83.0,223.70000000000016,528.3999999999999,1016.7500000000003,83.0,1091,0.0,0.38562245248167326,0.39767315412172555,0.6243769787252093
100,137.62,72.5,218.70000000000016,593.2499999999998,935.6200000000014,72.5,1195,0.0,0.39545073474746517,0.41978022331102993,0.64029034981572
100,110.15,58.0,138.70000000000005,508.34999999999997,919.2400000000016,58.0,1240,0.0,0.4079318264331665,0.6808159095451968,0.6796207967724434
100,914.29,907.5,1281.9000000000008,1560.6499999999999,1754.1400000000017,907.5,2037,0.0,0.3997473596686894,43.53638734694673,0.6636430775749727
100,111.34,62.5,169.60000000000005,453.6499999999999,893.5600000000009,62.5,1048,0.0,0.3941772141919564,0.6205404083380306,0.6366885862045858
100,91.02,60.5,113.10000000000001,284.2999999999997,572.970000000001,60.5,768,0.0,0.396085094921793,0.3848678412570157,0.6401570625933276
100,145.24,66.0,390.4000000000004,565.8999999999994,1095.1500000000005,66.0,1209,0.0,0.39064941558847427,0.7393726878437714,0.6325163389118069
100,145.24,66.0,390.4000000000004,565.8999999999994,1095.1500000000005,66.0,1209,0.0,0.3941974140649637,0.7460878986321349,0.6382610473825292
100,669.13,647.5,779.7,814.1499999999996,1014.2200000000001,647.5,1036,0.0,0.40403877156051893,0.7659967472353646,0.22608810166423568
100,141.72,99.0,164.60000000000005,240.29999999999941,862.1300000000022,99.0,1271,0.0,0.3874497283977404,8.781563228889802,0.6443621947864765
100,141.72,99.0,164.60000000000005,240.29999999999941,862.1300000000022,99.0,1271,0.0,0.3788811639229356,8.5873563803588,0.6301119357038665
100,135.61,55.0,146.40000000000012,872.3499999999998,1310.0800000000006,55.0,1417,0.0,0.4001408495790518,0.34621561789749994,0.6881328477624123
100,135.61,55.0,146.40000000000012,872.3499999999998,1310.0800000000006,55.0,1417,0.0,0.40706667752177805,0.3522080823088822,0.7000433780428233
